      ch        R [m]        z [m]           A1           A2           A3           A4           A5           A6           A7           A8           A9
       1      2.04571    0.0413999    0.0168198   -0.0835028    0.6221934    0.9803064   -0.4146615   -0.8456395    0.2177640   -0.0552362    0.9600259
       2      1.99652    0.0450690    0.0133992   -0.0841198    0.5995867    0.9875499   -0.4237844   -0.8400641    0.2260660   -0.0446968    0.9587558
       3      1.95059    0.0464372    0.0102813   -0.0845575    0.5794708    0.9926887   -0.4321643   -0.8337361    0.2356713   -0.0350919    0.9567544
       4      1.90568    0.0471884    0.0069495   -0.0848963    0.5571932    0.9966656   -0.4413996   -0.8282463    0.2428431   -0.0239789    0.9557740
       5      1.85968    0.0477014    0.0037675   -0.0850969    0.5365633    0.9990213   -0.4503664   -0.8215643    0.2518762   -0.0132719    0.9538923
       6      1.81867    0.0461253    0.0007103   -0.0851773    0.5157204    0.9999644   -0.4587730   -0.8161689    0.2585858   -0.0025389    0.9528491
       7      1.77530    0.0476574   -0.0026779   -0.0851380    0.4935967    0.9995033   -0.4690319   -0.8090846    0.2664936    0.0096975    0.9513795
       8      1.73832    0.0489442   -0.0059576   -0.0849715    0.4706720    0.9975494   -0.4780569   -0.8030249    0.2734841    0.0217932    0.9502461
       9      1.69783    0.0487842   -0.0093377   -0.0846667    0.4481229    0.9939707   -0.4884072   -0.7955654    0.2811122    0.0346449    0.9487646
      10      1.65953    0.0484665   -0.0129205   -0.0841946    0.4226371    0.9884285   -0.4988186   -0.7886537    0.2875910    0.0483542    0.9478033
