      ch        R [m]        z [m]           A1           A2           A3           A4           A5           A6           A7           A8           A9
       1      2.03685    0.0459816    0.0151354   -0.0838249     0.603482     0.984087    -0.414114    -0.851090     0.211927   -0.0474975     0.963611
       2      1.99339    0.0478348    0.0149643   -0.0838556     0.604640     0.984448    -0.414650    -0.846544     0.220781   -0.0489771     0.960352
       3      1.93867    0.0489979    0.0150281   -0.0838442     0.609954     0.984314    -0.417036    -0.840525     0.229217   -0.0513298     0.956741
       4      1.89034    0.0468880    0.0146989   -0.0839025     0.610129     0.984999    -0.416045    -0.833104     0.244470   -0.0535554     0.950621
       5      1.84521    0.0480833    0.0142751   -0.0839757     0.612366     0.985857    -0.420736    -0.827334     0.250087   -0.0533243     0.948027
       6      1.80287    0.0470927    0.0144536   -0.0839451     0.618064     0.985499    -0.421806    -0.820877     0.258809   -0.0561938     0.943571
       7      1.76004    0.0481973    0.0116723   -0.0843768     0.579899     0.990567    -0.423971    -0.846810     0.216635   -0.0366388     0.963592
       8      1.71767    0.0491441    0.0118647   -0.0843500     0.585181     0.990252    -0.425364    -0.842167     0.223904   -0.0386739     0.960682
       9      1.68407    0.0727691    0.0117649   -0.0843640     0.588355     0.990416    -0.425805    -0.835162     0.237118   -0.0407288     0.955533
      10      1.63303    0.0937443    0.0114317   -0.0844098     0.589653     0.990954    -0.426046    -0.827326     0.251789   -0.0420736     0.949588
